year,county,cause,sex,age_code,N
108,0102,32,1,24,1
108,0102,32,2,03,1
108,0102,32,2,11,1
108,0102,32,2,13,1
108,0102,32,2,17,1
108,0102,32,2,22,2
108,0102,32,2,24,2
108,0102,33,1,13,1
108,0102,33,1,15,1
108,0102,33,1,18,3
108,0102,33,1,19,2
108,0102,33,1,20,4
108,0102,33,1,22,6
108,0102,33,1,23,3
108,0102,33,1,24,1
108,0102,33,1,26,1
108,0102,33,2,11,1
108,0102,33,2,15,1
108,0102,33,2,17,1
108,0102,33,2,18,1
108,0102,33,2,19,2
108,0102,33,2,21,3
108,0102,33,2,22,2
108,0102,33,2,23,4
108,0109,01,1,15,1
108,0109,01,1,16,2
108,0109,01,1,17,2
108,0109,01,1,18,4
108,0109,01,1,19,2
108,0109,01,1,20,3
108,0109,01,1,21,1
108,0109,01,2,16,1
108,0109,02,2,18,1
108,0109,03,1,18,1
108,0109,03,1,20,2
108,0109,03,1,21,2
108,0109,03,2,22,1
108,0109,04,1,15,1
108,0109,04,1,17,1
108,0109,04,1,18,1
108,0109,04,1,20,2
108,0109,04,1,21,3
108,0109,04,1,22,2
108,0109,04,1,23,1
108,0109,05,1,20,5
108,0109,05,1,22,1
108,0109,05,1,23,3
108,0109,05,2,13,2
108,0109,05,2,14,1
108,0109,05,2,16,1
108,0109,05,2,19,3
108,0109,05,2,21,1
108,0109,05,2,25,2
108,0109,06,2,21,1
108,0109,07,1,15,1
108,0109,07,1,17,2
108,0109,07,1,18,2
108,0109,07,1,19,3
108,0109,07,1,20,2
108,0109,07,1,21,3
108,0109,07,1,22,7
108,0109,07,1,23,2
108,0109,07,1,24,3
108,0109,07,1,25,3
108,0109,07,2,15,1
108,0109,07,2,17,1
108,0109,07,2,18,1
108,0109,07,2,19,1
108,0109,07,2,20,2
108,0109,07,2,22,4
108,0109,07,2,23,2
108,0109,07,2,24,2
108,0109,07,2,25,2
108,0109,08,1,15,1
108,0109,08,1,16,4
108,0109,08,1,17,1
108,0109,08,1,18,1
108,0109,08,1,19,4
108,0109,08,1,20,4
108,0109,08,1,21,3
108,0109,08,1,22,4
